iter	Logloss_SumError	Logloss_SumWeight
0	20766.91451	32769
1	19001.64052	32769
2	17521.85695	32769
3	16225.62497	32769
4	15077.27251	32769
5	14069.8597	32769
6	13208.24899	32769
7	12431.85767	32769
8	11706.46131	32769
9	11094.42802	32769
10	10551.67442	32769
11	10012.2176	32769
12	9656.51214	32769
13	9273.821254	32769
14	8918.409388	32769
15	8605.583761	32769
16	8225.007057	32769
17	7882.483563	32769
18	7734.019458	32769
19	7508.763604	32769
20	7271.838713	32769
21	7025.907665	32769
22	6941.592216	32769
23	6745.109457	32769
24	6546.665937	32769
25	6418.389524	32769
26	6243.462172	32769
27	6075.068882	32769
28	5933.840586	32769
29	5811.185384	32769
30	5652.032724	32769
31	5565.549204	32769
32	5486.633751	32769
33	5392.602732	32769
34	5307.936274	32769
35	5231.395029	32769
36	5155.005215	32769
37	5095.08896	32769
38	5031.336494	32769
39	4959.676102	32769
40	4896.621135	32769
41	4821.541978	32769
42	4738.082639	32769
43	4673.95889	32769
44	4607.021643	32769
45	4540.70579	32769
46	4492.846077	32769
47	4444.754817	32769
48	4386.444155	32769
49	4341.222432	32769
50	4306.67793	32769
51	4285.923819	32769
52	4246.262632	32769
53	4215.662611	32769
54	4181.46073	32769
55	4159.674847	32769
56	4132.892077	32769
57	4105.786472	32769
58	4070.334829	32769
59	4047.946658	32769
60	4023.045169	32769
61	3987.92114	32769
62	3955.896976	32769
63	3947.302848	32769
64	3929.881354	32769
65	3904.865909	32769
66	3854.029384	32769
67	3782.824789	32769
68	3729.55795	32769
69	3672.603331	32769
70	3620.404904	32769
71	3582.940371	32769
72	3527.701648	32769
73	3512.588558	32769
74	3480.623187	32769
75	3460.312368	32769
76	3454.121364	32769
77	3446.168839	32769
78	3436.587529	32769
79	3415.169854	32769
80	3389.886865	32769
81	3366.73654	32769
82	3358.514944	32769
83	3356.314815	32769
84	3331.853162	32769
85	3328.697017	32769
86	3305.243516	32769
87	3302.923262	32769
88	3278.056637	32769
89	3258.200438	32769
90	3251.261827	32769
91	3217.325192	32769
92	3215.03763	32769
93	3194.57001	32769
94	3170.22586	32769
95	3163.132934	32769
96	3155.484826	32769
97	3153.83578	32769
98	3132.920602	32769
99	3115.157686	32769
100	3110.632404	32769
101	3090.67642	32769
102	3085.197958	32769
103	3076.443036	32769
104	3067.904412	32769
105	3054.629077	32769
106	3047.821728	32769
107	3044.213322	32769
108	3036.411832	32769
109	3029.779552	32769
110	3015.522686	32769
111	2995.436418	32769
112	2974.761546	32769
113	2972.05213	32769
114	2959.534836	32769
115	2955.520536	32769
116	2951.729088	32769
117	2947.365447	32769
118	2945.265331	32769
119	2941.363944	32769
120	2939.302821	32769
121	2932.73585	32769
122	2925.480422	32769
123	2924.704088	32769
124	2920.91946	32769
125	2921.038412	32769
126	2918.401994	32769
127	2915.040574	32769
128	2913.564719	32769
129	2903.927676	32769
130	2901.916709	32769
131	2900.389937	32769
132	2896.457258	32769
133	2896.18309	32769
134	2896.202435	32769
135	2886.594897	32769
136	2883.336908	32769
137	2849.79117	32769
138	2847.533714	32769
139	2842.896654	32769
140	2841.494272	32769
141	2827.495806	32769
142	2792.569351	32769
143	2782.775429	32769
144	2783.638366	32769
145	2756.445287	32769
146	2748.977753	32769
147	2739.805138	32769
148	2737.305669	32769
149	2732.311269	32769
150	2732.345872	32769
151	2691.875038	32769
152	2691.969281	32769
153	2691.716684	32769
154	2690.203696	32769
155	2653.265569	32769
156	2652.130893	32769
157	2642.704544	32769
158	2639.408815	32769
159	2629.073719	32769
160	2629.080279	32769
161	2625.196429	32769
162	2624.745844	32769
163	2617.656546	32769
164	2617.654024	32769
165	2617.241362	32769
166	2617.248792	32769
167	2608.533773	32769
168	2589.276986	32769
169	2589.126784	32769
170	2580.491375	32769
171	2580.154425	32769
172	2580.164369	32769
173	2579.176688	32769
174	2574.123285	32769
175	2568.861299	32769
176	2548.68184	32769
177	2545.481863	32769
178	2523.378199	32769
179	2523.387813	32769
180	2522.81949	32769
181	2522.717431	32769
182	2504.707932	32769
183	2504.875143	32769
184	2505.11451	32769
185	2501.438915	32769
186	2493.081189	32769
187	2483.9053	32769
188	2480.395812	32769
189	2478.706877	32769
190	2478.399261	32769
191	2457.929692	32769
192	2452.07141	32769
193	2451.079758	32769
194	2444.143696	32769
195	2444.259101	32769
196	2443.312737	32769
197	2443.315778	32769
198	2442.474783	32769
199	2441.965218	32769
200	2441.055741	32769
201	2442.344991	32769
202	2441.240024	32769
203	2436.439501	32769
204	2436.444035	32769
205	2428.278979	32769
206	2412.668677	32769
207	2412.679565	32769
208	2412.144541	32769
209	2411.658794	32769
210	2406.54572	32769
211	2402.422215	32769
212	2402.842963	32769
213	2402.520943	32769
214	2402.457411	32769
215	2400.519321	32769
216	2400.205497	32769
217	2400.208781	32769
218	2399.480252	32769
219	2381.625102	32769
220	2381.881937	32769
221	2365.289031	32769
222	2361.249733	32769
223	2361.318416	32769
224	2361.156575	32769
225	2358.710601	32769
226	2358.559505	32769
227	2354.32001	32769
228	2353.229394	32769
229	2350.561947	32769
230	2342.118352	32769
231	2329.216936	32769
232	2329.751222	32769
233	2328.091762	32769
234	2327.403939	32769
235	2327.421729	32769
236	2310.50387	32769
237	2312.414776	32769
238	2305.850008	32769
239	2306.559755	32769
240	2295.401313	32769
241	2286.154257	32769
242	2286.053336	32769
243	2285.66339	32769
244	2284.691204	32769
245	2284.026119	32769
246	2284.817893	32769
247	2281.647943	32769
248	2281.535507	32769
249	2281.52141	32769
250	2280.800222	32769
251	2268.342334	32769
252	2268.302018	32769
253	2268.215867	32769
254	2269.894861	32769
255	2269.803244	32769
256	2266.996097	32769
257	2266.90046	32769
258	2267.600952	32769
259	2267.528739	32769
260	2267.072224	32769
261	2263.265488	32769
262	2253.453083	32769
263	2253.224435	32769
264	2253.159711	32769
265	2252.595314	32769
266	2254.126519	32769
267	2243.587221	32769
268	2242.646163	32769
269	2241.959861	32769
270	2241.224154	32769
271	2240.357513	32769
272	2240.245493	32769
273	2237.490692	32769
274	2233.920811	32769
275	2234.283395	32769
276	2235.959274	32769
277	2235.274096	32769
278	2233.569378	32769
279	2233.282331	32769
280	2231.502146	32769
281	2228.101668	32769
282	2228.187526	32769
283	2228.216795	32769
284	2229.696107	32769
285	2229.471221	32769
286	2230.37971	32769
287	2230.325995	32769
288	2216.604071	32769
289	2216.251051	32769
290	2214.058513	32769
291	2214.746645	32769
292	2214.867331	32769
293	2216.637161	32769
294	2216.48922	32769
295	2216.420769	32769
296	2216.829716	32769
297	2217.254196	32769
298	2217.042883	32769
299	2216.264804	32769
300	2209.519751	32769
301	2209.219541	32769
302	2209.213824	32769
303	2209.220583	32769
304	2209.215879	32769
305	2210.947076	32769
306	2211.140836	32769
307	2211.681729	32769
308	2199.025289	32769
309	2191.284579	32769
310	2191.264025	32769
311	2191.278202	32769
312	2182.146575	32769
313	2182.06822	32769
314	2181.149414	32769
315	2180.532346	32769
316	2180.453688	32769
317	2180.2394	32769
318	2179.88457	32769
319	2181.555371	32769
320	2181.858231	32769
321	2181.872553	32769
322	2181.818632	32769
323	2181.37832	32769
324	2181.248251	32769
325	2180.760492	32769
326	2180.997925	32769
327	2180.761983	32769
328	2180.943832	32769
329	2181.043633	32769
330	2181.163828	32769
331	2182.808886	32769
332	2182.75947	32769
333	2173.691286	32769
334	2168.841642	32769
335	2168.453519	32769
336	2166.475917	32769
337	2166.30811	32769
338	2163.249768	32769
339	2161.352374	32769
340	2161.435996	32769
341	2161.39538	32769
342	2162.189467	32769
343	2161.928574	32769
344	2162.202079	32769
345	2162.19333	32769
346	2163.38409	32769
347	2163.236747	32769
348	2163.242912	32769
349	2163.254926	32769
350	2162.892108	32769
351	2164.219972	32769
352	2163.597785	32769
353	2163.576287	32769
354	2163.498142	32769
355	2163.5148	32769
356	2164.543291	32769
357	2164.125579	32769
358	2157.533435	32769
359	2157.563243	32769
360	2157.948749	32769
361	2158.214177	32769
362	2157.870002	32769
363	2152.098893	32769
364	2149.39536	32769
365	2149.375222	32769
366	2145.178163	32769
367	2145.1405	32769
368	2144.616496	32769
369	2144.434174	32769
370	2144.563544	32769
371	2144.271489	32769
372	2144.068837	32769
373	2144.465627	32769
374	2140.071567	32769
375	2140.019553	32769
376	2138.590841	32769
377	2138.630151	32769
378	2138.300487	32769
379	2137.795488	32769
380	2137.820359	32769
381	2136.579842	32769
382	2138.240468	32769
383	2138.227181	32769
384	2138.924727	32769
385	2138.83626	32769
386	2130.58224	32769
387	2130.513808	32769
388	2130.517346	32769
389	2127.044398	32769
390	2125.48317	32769
391	2125.49214	32769
392	2125.352739	32769
393	2125.753589	32769
394	2125.956228	32769
395	2126.921228	32769
396	2127.149957	32769
397	2127.033784	32769
398	2126.934658	32769
399	2126.706248	32769
400	2126.698025	32769
401	2126.335575	32769
402	2126.662476	32769
403	2127.060539	32769
404	2126.895655	32769
405	2126.736677	32769
406	2126.811311	32769
407	2127.061863	32769
408	2125.529603	32769
409	2125.171142	32769
410	2124.958293	32769
411	2124.884747	32769
412	2124.680426	32769
413	2124.829161	32769
414	2124.798206	32769
415	2124.514853	32769
416	2124.651603	32769
417	2124.848663	32769
418	2124.463003	32769
419	2121.767262	32769
420	2121.012687	32769
421	2121.118587	32769
422	2119.303348	32769
423	2119.261394	32769
424	2118.189716	32769
425	2118.128301	32769
426	2116.205378	32769
427	2116.256379	32769
428	2117.105393	32769
429	2117.494309	32769
430	2117.027364	32769
431	2116.232616	32769
432	2107.03088	32769
433	2106.954485	32769
434	2105.547603	32769
435	2104.333072	32769
436	2101.789059	32769
437	2102.537812	32769
438	2102.235345	32769
439	2095.512395	32769
440	2095.234458	32769
441	2095.29272	32769
442	2096.212551	32769
443	2095.122069	32769
444	2095.192296	32769
445	2095.338961	32769
446	2095.067483	32769
447	2091.864044	32769
448	2091.43811	32769
449	2091.454933	32769
450	2091.547627	32769
451	2090.572132	32769
452	2086.377204	32769
453	2086.732678	32769
454	2087.314515	32769
455	2087.57583	32769
456	2087.434501	32769
457	2087.417296	32769
458	2085.815272	32769
459	2084.030805	32769
460	2084.131876	32769
461	2083.189218	32769
462	2083.071018	32769
463	2079.667265	32769
464	2079.560966	32769
465	2078.264947	32769
466	2078.507006	32769
467	2076.179334	32769
468	2075.66155	32769
469	2075.599079	32769
470	2075.537714	32769
471	2075.304704	32769
472	2073.057842	32769
473	2073.034667	32769
474	2073.051431	32769
475	2070.462608	32769
476	2070.466303	32769
477	2070.554763	32769
478	2070.544725	32769
479	2070.595971	32769
480	2070.485424	32769
481	2070.469581	32769
482	2070.729025	32769
483	2070.612145	32769
484	2070.785394	32769
485	2071.545682	32769
486	2071.317227	32769
487	2071.386132	32769
488	2067.439543	32769
489	2067.549318	32769
490	2067.546786	32769
491	2067.300383	32769
492	2065.468041	32769
493	2065.41604	32769
494	2065.382825	32769
495	2064.521231	32769
496	2064.613682	32769
497	2064.578168	32769
498	2064.96825	32769
499	2064.839537	32769
500	2064.697539	32769
501	2065.652253	32769
502	2065.672921	32769
503	2063.192151	32769
504	2063.026148	32769
505	2063.041578	32769
506	2063.162162	32769
507	2062.914892	32769
508	2065.635381	32769
509	2064.427488	32769
510	2064.756817	32769
511	2064.885636	32769
512	2065.056077	32769
513	2064.764702	32769
514	2064.900261	32769
515	2063.450725	32769
516	2066.835066	32769
517	2067.277444	32769
518	2067.305935	32769
519	2065.553742	32769
520	2065.745699	32769
521	2065.804862	32769
522	2064.323102	32769
523	2064.263648	32769
524	2064.187663	32769
525	2063.972977	32769
526	2064.232104	32769
527	2062.811118	32769
528	2062.630425	32769
529	2063.052836	32769
530	2063.313147	32769
531	2062.530415	32769
532	2062.203348	32769
533	2062.135377	32769
534	2063.437124	32769
535	2063.782151	32769
536	2063.552118	32769
537	2063.917111	32769
538	2064.516806	32769
539	2060.027953	32769
540	2059.996969	32769
541	2060.700747	32769
542	2060.170346	32769
543	2060.300761	32769
544	2060.291066	32769
545	2061.273998	32769
546	2059.857566	32769
547	2059.843555	32769
548	2060.128978	32769
549	2058.778695	32769
550	2059.517304	32769
551	2059.801782	32769
552	2058.97748	32769
553	2053.064102	32769
554	2053.070537	32769
555	2051.99783	32769
556	2051.902284	32769
557	2052.450122	32769
558	2052.627133	32769
559	2052.641195	32769
560	2052.608447	32769
561	2052.534326	32769
562	2052.516592	32769
563	2052.065936	32769
564	2052.295138	32769
565	2051.658058	32769
566	2051.548446	32769
567	2050.308993	32769
568	2050.32038	32769
569	2049.950222	32769
570	2051.766742	32769
571	2051.890772	32769
572	2051.885903	32769
573	2051.813379	32769
574	2051.772854	32769
575	2051.949969	32769
576	2051.994055	32769
577	2052.692604	32769
578	2051.248299	32769
579	2050.427069	32769
580	2050.681201	32769
581	2050.770618	32769
582	2049.266295	32769
583	2048.8652	32769
584	2048.850267	32769
585	2048.913536	32769
586	2048.985039	32769
587	2049.182025	32769
588	2048.988556	32769
589	2048.611193	32769
590	2048.955581	32769
591	2048.793517	32769
592	2047.995213	32769
593	2048.248532	32769
594	2047.637033	32769
595	2049.460368	32769
596	2046.267836	32769
597	2045.143412	32769
598	2045.699742	32769
599	2045.774158	32769
600	2044.641615	32769
601	2044.757705	32769
602	2044.774859	32769
603	2044.653452	32769
604	2044.91984	32769
605	2044.518399	32769
606	2044.606608	32769
607	2043.164735	32769
608	2043.312702	32769
609	2043.312989	32769
610	2043.387536	32769
611	2043.220186	32769
612	2043.518243	32769
613	2043.537386	32769
614	2043.957808	32769
615	2043.919522	32769
616	2043.838881	32769
617	2044.115225	32769
618	2045.082426	32769
619	2045.124616	32769
620	2045.164724	32769
621	2043.546641	32769
622	2043.662028	32769
623	2043.297085	32769
624	2042.513357	32769
625	2042.338621	32769
626	2042.545386	32769
627	2042.523471	32769
628	2042.501326	32769
629	2042.725951	32769
630	2042.735295	32769
631	2042.860765	32769
632	2041.830017	32769
633	2041.822958	32769
634	2043.012746	32769
635	2037.218491	32769
636	2037.307934	32769
637	2037.223779	32769
638	2036.921147	32769
639	2037.210083	32769
640	2037.323977	32769
641	2036.235851	32769
642	2036.193669	32769
643	2035.597356	32769
644	2035.592768	32769
645	2032.535963	32769
646	2032.379248	32769
647	2032.424142	32769
648	2032.406395	32769
649	2032.303484	32769
650	2031.541011	32769
651	2031.20891	32769
652	2031.187077	32769
653	2031.304271	32769
654	2032.255763	32769
655	2032.087285	32769
656	2032.108666	32769
657	2031.492088	32769
658	2032.645262	32769
659	2033.074855	32769
660	2035.921858	32769
661	2035.391483	32769
662	2035.393875	32769
663	2035.648998	32769
664	2035.670385	32769
665	2035.594692	32769
666	2036.635904	32769
667	2036.607784	32769
668	2036.667721	32769
669	2036.525716	32769
670	2036.40803	32769
671	2036.41307	32769
672	2036.274263	32769
673	2036.287612	32769
674	2036.000764	32769
675	2034.450685	32769
676	2034.430641	32769
677	2033.911805	32769
678	2033.958363	32769
679	2033.958662	32769
680	2033.5183	32769
681	2032.66888	32769
682	2032.61555	32769
683	2032.573676	32769
684	2032.626225	32769
685	2032.520894	32769
686	2032.629353	32769
687	2032.638331	32769
688	2033.251681	32769
689	2033.140319	32769
690	2032.440993	32769
691	2032.599678	32769
692	2033.646751	32769
693	2033.675166	32769
694	2032.962396	32769
695	2032.054443	32769
696	2032.058631	32769
697	2031.757251	32769
698	2032.545394	32769
699	2032.111975	32769
700	2032.114883	32769
701	2032.117022	32769
702	2032.132666	32769
703	2032.069868	32769
704	2032.814624	32769
705	2033.032395	32769
706	2032.85304	32769
707	2032.848036	32769
708	2032.851745	32769
709	2032.799708	32769
710	2033.33507	32769
711	2032.881727	32769
712	2033.154141	32769
713	2033.376432	32769
714	2033.194667	32769
715	2032.811511	32769
716	2032.763571	32769
717	2032.809134	32769
718	2032.824809	32769
719	2032.850446	32769
720	2033.00575	32769
721	2032.375115	32769
722	2032.329823	32769
723	2032.347978	32769
724	2032.292505	32769
725	2032.107834	32769
726	2032.022791	32769
727	2033.168396	32769
728	2033.29793	32769
729	2033.095044	32769
730	2032.820725	32769
731	2032.821384	32769
732	2032.697059	32769
733	2031.338441	32769
734	2031.555753	32769
735	2031.184407	32769
736	2031.387589	32769
737	2030.411666	32769
738	2030.19113	32769
739	2030.06247	32769
740	2030.211007	32769
741	2031.519712	32769
742	2031.299422	32769
743	2031.346574	32769
744	2030.784052	32769
745	2031.572417	32769
746	2031.530249	32769
747	2031.614172	32769
748	2030.481612	32769
749	2030.417933	32769
750	2030.218554	32769
751	2030.196381	32769
752	2030.18684	32769
753	2030.447914	32769
754	2030.457329	32769
755	2030.66286	32769
756	2030.443877	32769
757	2030.155781	32769
758	2030.215595	32769
759	2030.14333	32769
760	2030.429447	32769
761	2030.375604	32769
762	2030.500213	32769
763	2030.606748	32769
764	2030.802527	32769
765	2031.203538	32769
766	2031.078722	32769
767	2029.905635	32769
768	2026.308571	32769
769	2026.637523	32769
770	2026.683294	32769
771	2026.642283	32769
772	2026.675521	32769
773	2026.032467	32769
774	2026.899407	32769
775	2026.487116	32769
776	2026.608341	32769
777	2026.492538	32769
778	2026.500955	32769
779	2026.652844	32769
780	2026.748584	32769
781	2026.780099	32769
782	2026.747538	32769
783	2026.704324	32769
784	2026.573781	32769
785	2026.568275	32769
786	2026.856204	32769
787	2026.985646	32769
788	2027.031577	32769
789	2027.650321	32769
790	2027.696617	32769
791	2027.718194	32769
792	2027.483834	32769
793	2027.365543	32769
794	2027.35845	32769
795	2027.316885	32769
796	2027.240811	32769
797	2027.186733	32769
798	2027.132475	32769
799	2027.142699	32769
800	2027.080479	32769
801	2027.048837	32769
802	2026.636016	32769
803	2026.662923	32769
804	2026.754018	32769
805	2026.321352	32769
